Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.9241333,99.96606445,99.99035645,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.68412766,53.24095386,55.35349736,56.30586715,57.04106598,58.11285144,58.66473523,60.83068327,59.00518947,61.34197099,63.14394933,66.04043834,66.82084075,66.95833613,66.14683356,66.93647887,68.97783822,70.7717296,71.69242679,73.16486287,73.77567524,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.13346863,73.59903717,75.0632782,76.53313446,78.01555634,74,81.04376984,82.59082031,89.90000153,85.72447205,82.80000305,86.56777954,95,92.25904846,98.69999695,92.5,99.5,99.5,99.62602234,99.5,99.5,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27832429,76.32980967,76.13194463,73.05271668,72.46053578,73.08116245,72.82027015,71.47257931,72.20944922,72.23356853,73.23736834,73.22286717,73.91262886,74.61499472,76.12864697,75.57817941,75.39731502,74.2081081,79.32528925,78.63078539,78.77709502,79.46863699,78.19041966,81.51313823,,,,83.16540234,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.81760406,30,47.58462906,48.97309875,50.37413025,51.7946701,53.23956299,66.09999847,61.31000137,57.67609406,73.71856689,82.5,70.46347046,68.66222382,51,64,67.9733963,69.41117096,65.26999664,72.27718353,73.70891571,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.90000153,100,100,100,100,100,100,100,100,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.02143956,94.49961689,94.50185273,94.68648917,94.78173237,94.72962464,95.48840819,95.23797625,94.58083829,95.21504285,96.97459879,97.1046827,97.08353906,97.3361373,96.94759528,97.08089218,97.306846,97.51269644,97.60167352,98.28216653,97.52017756,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1390152,94.41311646,94.68669891,94.9571228,95.22122955,95.47585297,95.7178421,95.94403839,96.15126801,96.33807373,96.4752121,96.63759613,96.79866028,96.96533966,97.14458466,97.34333801,97.5664444,97.81031036,98.06926727,98.33760834,99.09142303,99.41663361,99.67237091,99.78914642,100,99.86068726,99.94213104,100,100,100,100,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09999847,100,99.28139496,99.25617981,99.24353027,99.90000153,99.28160095,99.33358002,99.40063477,99.47708893,99.69999695,99.63542938,99.7906723,99.41000366,99.66000366,100,99.80000305,99.80000305,99.90000153,100,99.95941162,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,99.99794006,100,99.95860291,99.92212677,100,100,100,100,99.94515991,99.97457123,99.99261475,100,100,100,100,100,100,100,100,100,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.55514526,99.70492554,99.56578064,100,99.55426788,99.56388855,99.59300995,99.80000305,99.72073364,99.81005859,99.90085602,99.9653244,99.90000153,100,100,100,100,100,100,100,100,100,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6,50.53980255,50.63116837,50.76617813,50.8998642,51.03916931,51.19103622,45.04950333,51.5581398,51.77463531,39.59999847,52.24717712,49,52.73455429,58.5,52.40000153,52.09999847,57.12614059,58.60169983,61.79999924,61.42993164,62.59404373,63.67844009,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,44.78138733,45.70143509,46.60104752,47.46887207,49.59999847,49.2144165,50.09214401,50.98243713,51.89223862,56.59999847,53.78130722,54.75130844,55.73070145,65.40000153,67,68.59999847,61.05483246,55.79999924,51.66999817,62.45282364,54.20000076,64.3030777,65.22438812,66.14538574,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,33.44026184,34.6333847,35.81386566,36.97855377,38.12428284,39.7,40.3424263,41.44242859,42.54110718,52.40000153,44.76226807,45.89863968,47.0593605,48.24084854,49.43741608,44.40999985,48.5,53.06074524,54.26076889,55.4487114,58.40000153,58.00947571,59.72346115,61.46657562,62.29999924,64.43108368,65.75390625,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.06059522,67.58527374,68.74897003,75.2,71.054245,72.18950653,79.5,74.40947723,75.48954773,81.19999695,77.6078949,78.6517334,79.70118713,76.59999847,82.61000061,77.7991333,82.09999847,85.21899414,86.37011719,90.09999847,90.19999695,90.61813354,88,90.69999695,93.44181824,94.01000214,99.5,96.5,97.80000305,97.80000305,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.80000305,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
